date,market_state_index,market_state_stock,adx14,s1_entry,s1_reason,s1_stop,s1_pos,s2_entry,s2_reason,s2_stop,s2_pos,s3_long_entry,s3_reason,s3_stop,s3_pos,s4_pyramid,s4_reason,ema20,ema50,ema200,macd_dif,macd_dea,macd_hist,rsi14,atr14,obv,boll_mid,boll_up,boll_low,boll_bw,plus_di14,minus_di14,psar,close,open,code,symbol,strategy,confidence,entry_price_ref,stop_ref,pos_ref,key_notes
9/16/25,trend_ok,trend,39.00767735,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,6.571857143,0.068417425,0,,6.563642857,0.123151365,0,,6.744571429,0.102626137,0,,6.88341511,6.693334547,6.476390877,0.169974371,0.139863613,0.030110758,65.40540541,0.287857143,336062130,6.8515,7.390164039,6.312835961,0.15723974,35.48387097,9.677419355,6.569026925,7.09,7.21,17,17,S1,24,,6.571857143,0.068417425,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
9/16/25,trend_ok,range,19.1343426,0,,6.218571429,0.139351852,0,,6.535928571,0.2,1,mean_revert_long: rsi_low & near_lower_band,6.295714286,0.2,0,,6.604174395,6.610640636,6.440698219,-0.055864452,-0.036164701,-0.01969975,26,0.128571429,4089967309,6.6645,7.071981352,6.257018648,0.122284148,13.88888889,46.11111111,6.773514147,6.45,6.51,27,27,S3,9,,6.295714286,0.2,mean_revert_long: rsi_low & near_lower_band
9/16/25,trend_ok,trend,31.23563457,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,5.068571429,0.083844444,0,,5.077928571,0.15092,0,,5.175714286,0.125766667,0,,5.259971885,5.058280225,4.743812699,0.121286599,0.111475628,0.009810971,62.39316239,0.178571429,5385261334,5.2565,5.525945825,4.987054175,0.1025191,28,22.8,5.117152652,5.39,5.56,60,60,S1,20,,5.068571429,0.083844444,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
9/16/25,trend_ok,trend,33.5795053,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,13.37728571,0.064049691,0,,13.59771429,0.115289444,0,,13.75485714,0.096074537,0,,14.26490223,13.68046681,12.74619661,0.350259396,0.3155223,0.034737096,57.65027322,0.629285714,5077858207,14.227,15.24152815,13.21247185,0.14262011,24.06356413,17.70715096,13.67906048,14.51,14.68,422,422,S1,21,,13.37728571,0.064049691,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
9/16/25,trend_ok,trend,34.36161378,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,6.506714286,0.133446136,0,,6.574785714,0.2,0,,6.591142857,0.2,0,,6.717656979,6.697011107,6.484523225,-0.000464353,-0.010498132,0.010033779,53.94736842,0.140714286,2107867636,6.7155,6.870211956,6.560788044,0.04607608,8.629441624,21.82741117,6.483464,6.76,6.76,505,505,S1,22,,6.506714286,0.133446136,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
9/16/25,trend_ok,trend,37.76666302,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,9.114571429,0.050326797,0,,9.436428571,0.090588235,0,,9.449714286,0.075490196,0,,10.15121638,9.920021171,7.503793031,0.080234714,0.054570628,0.025664087,58.61297539,0.558571429,5913737975,9.995,10.8803783,9.109621698,0.177164242,28.3887468,8.95140665,11.1946,10.12,10.35,506,506,S1,23,,9.114571429,0.050326797,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
9/16/25,trend_ok,trend,52.15382989,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,13.64414286,0.041367756,0,,13.57435714,0.07446196,0,,14.26942857,0.062051634,0,,14.82572758,13.66458869,11.83266892,0.83965477,0.836075394,0.003579376,67.55555556,1.042142857,2146007233,14.6165,17.42505291,11.80794709,0.384298965,30.29472241,17.88896504,17.45574752,15.52,15.38,524,524,S1,31,,13.64414286,0.041367756,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
9/16/25,trend_ok,range,10.4519328,0,,5.986714286,0.123181049,0,,6.302785714,0.2,1,mean_revert_long: rsi_low & near_lower_band,6.071142857,0.184771574,0,,6.402142905,6.408766193,6.176112842,-0.043056699,-0.020216903,-0.022839796,28.57142857,0.140714286,932006822,6.4435,6.657560985,6.229439015,0.066442457,10.65989848,31.97969543,6.486407404,6.24,6.27,531,531,S3,5,,6.071142857,0.184771574,mean_revert_long: rsi_low & near_lower_band
9/16/25,trend_ok,trend,28.605534,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,8.322142857,0.104581197,0,,8.432857143,0.188246154,0,,8.461428571,0.156871795,0,,8.658757185,8.72956374,7.646482679,-0.01985396,-0.044619947,0.024765987,59.84848485,0.232142857,1071634722,8.665,8.937802223,8.392197777,0.062966468,15.69230769,24.92307692,8.79214724,8.74,8.66,565,565,S1,19,,8.322142857,0.104581197,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
9/16/25,trend_ok,trend,32.31305028,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,8.404142857,0.126497315,0,,8.417357143,0.2,0,,8.519428571,0.189745973,0,,8.643607661,8.510531594,8.316656505,0.131185557,0.115660139,0.015525419,63.63636364,0.192142857,1892297999,8.6095,9.023795852,8.195204148,0.096241559,28.62453532,13.01115242,8.516530728,8.75,8.77,582,582,S1,21,,8.404142857,0.126497315,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
9/16/25,trend_ok,trend,26.45543379,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,4.319714286,0.063329475,0,,4.489285714,0.113993056,0,,4.443142857,0.094994213,0,,4.728187482,4.680704294,4.300221193,0.013617206,0.010293837,0.00332337,59.80392157,0.205714286,662175582,4.695,4.964228918,4.425771082,0.114687505,26.38888889,14.93055556,5.12,4.69,4.66,607,607,S1,18,,4.319714286,0.063329475,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
